epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,237.768,1.54051,2.76725,1.47955,1,0.09917,0.22197,0.14565,1.30241,3.57587,1.16791,0.00053979,0.00053979,0.00053979
2,446.831,1.6099,2.01543,1.43848,0.88589,0.11972,0.16914,0.09831,1.43372,3.3519,1.26428,0.00108461,0.00108461,0.00108461
3,705.62,1.63559,1.83082,1.44024,0.71203,0.15493,0.15107,0.07758,1.67803,3.31631,1.47815,0.00161843,0.00161843,0.00161843
4,936.189,1.5671,1.68317,1.42411,0.47023,0.25103,0.24814,0.12225,1.68868,3.41386,1.55672,0.00161749,0.00161749,0.00161749
5,1154.1,1.60131,1.72776,1.43135,0.38102,0.30342,0.27126,0.13582,1.86855,2.75345,1.86694,0.00160099,0.00160099,0.00160099
6,1366.08,1.52774,1.46069,1.38009,0.6788,0.44128,0.51282,0.28919,1.4407,1.6936,1.29254,0.00158448,0.00158448,0.00158448
7,1579.59,1.51666,1.32323,1.3801,0.7648,0.65977,0.66601,0.37724,1.2847,1.27975,1.13637,0.00156798,0.00156798,0.00156798
8,1807.2,1.42499,1.25053,1.33695,0.71842,0.54951,0.61999,0.37896,1.23486,1.42062,1.17324,0.00155148,0.00155148,0.00155148
9,2042.1,1.38401,1.17192,1.26619,0.74577,0.5662,0.61461,0.39783,1.31733,1.19301,1.17648,0.00153497,0.00153497,0.00153497
10,2269.52,1.39977,1.14126,1.31851,0.86747,0.66934,0.74863,0.46781,1.17625,1.00437,1.08412,0.00151847,0.00151847,0.00151847
11,2493.27,1.41773,1.11272,1.30655,0.86079,0.66999,0.74215,0.48248,1.13,0.99075,1.05815,0.00150197,0.00150197,0.00150197
12,2721.34,1.3573,1.03651,1.25876,0.88459,0.72429,0.79038,0.49429,1.16071,0.91384,1.05201,0.00148546,0.00148546,0.00148546
13,2946.04,1.36624,1.0211,1.27156,0.85643,0.78218,0.79867,0.45465,1.24798,0.84198,1.08108,0.00146896,0.00146896,0.00146896
14,3188.24,1.37185,1.04932,1.3245,0.90255,0.67064,0.79078,0.48399,1.18166,0.86197,1.053,0.00145246,0.00145246,0.00145246
15,3462.9,1.32216,0.9594,1.24763,0.88069,0.76742,0.78303,0.44586,1.34623,0.88889,1.11356,0.00143595,0.00143595,0.00143595
16,3696.97,1.33815,0.95115,1.2707,0.93746,0.72898,0.80811,0.54838,0.97672,0.75511,1.0009,0.00141945,0.00141945,0.00141945
17,3928.58,1.3112,0.94963,1.24733,0.81617,0.74668,0.81063,0.53134,1.04627,0.78886,1.01231,0.00140295,0.00140295,0.00140295
18,4167.59,1.29554,0.90064,1.2217,0.80584,0.75661,0.79875,0.56413,0.98237,0.74945,1.00927,0.00138644,0.00138644,0.00138644
19,4391.53,1.22836,0.86494,1.20384,0.88362,0.79816,0.82603,0.47708,1.17071,0.82229,1.05071,0.00136994,0.00136994,0.00136994
20,4617.54,1.27498,0.88669,1.23368,0.81038,0.80591,0.79668,0.48246,1.15875,0.80208,1.04453,0.00135344,0.00135344,0.00135344
21,4834.32,1.26737,0.86793,1.18567,0.83885,0.76812,0.82653,0.52117,1.10059,0.74571,1.04408,0.00133693,0.00133693,0.00133693
22,5049.62,1.28843,0.92938,1.23276,0.88975,0.81064,0.82396,0.57295,0.92101,0.65791,0.99223,0.00132043,0.00132043,0.00132043
23,5262.16,1.23649,0.83141,1.18554,0.9339,0.70728,0.83216,0.53829,1.05704,0.7183,0.99546,0.00130393,0.00130393,0.00130393
